Address,Price,Beds,Baths,Sizes
"13055 SE Stark St Unit 29, Portland, OR 97233","$95,000 ",3,1,"1,241sqft"
"1724 SE 54th Ave, Portland, OR 97215","$850,000 ",4,2,"2,940sqft"
"1001 NW Lovejoy St Unit 306, Portland, OR 97209","$950,000 ",2,2,"1,501sqft"
"14050 NE Brazee St, Portland, OR 97230","$385,000 ",3,3,"1,814sqft"
"6323 SW Flower St, Portland, OR 97221","$975,000 ",5,4,"3,400sqft"
"3017 NE 10th Ave, Portland, OR 97212","$1,450,000 ",5,4,"3,997sqft"
"5005 NE Flanders St, Portland, OR 97213","$465,000 ",2,1,"1,755sqft"
"1500 SW 5th Ave Unit 2003, Portland, OR 97201","$650,000 ",2,2,"1,319sqft"
"2306 NE 51st Ave, Portland, OR 97213","$649,000 ",4,2,"2,400sqft"
"402 SE 29th Ave, Portland, OR 97214","$829,000 ",3,2,"2,684sqft"
"2525 NE 161st Ave, Portland, OR 97230","$477,000 ",4,2,"1,267sqft"
"2328 NW Pinnacle Dr, Portland, OR 97229","$1,299,000 ",5,4,"4,928sqft"
"4436 NE Wygant St, Portland, OR 97218","$599,900 ",2,2,"2,084sqft"
"2934 NE 67th Ave, Portland, OR 97213","$600,000 ",2,1,"2,049sqft"
"239 SE 136th Ave, Portland, OR 97233","$575,000 ",4,3,"3,000sqft"
"15627 SE Woodward Ct, Portland, OR 97236","$389,850 ",4,2,"1,296sqft"
"18699 NE Marine Dr Slip C8, Portland, OR 97230","$425,000 ",2,2,"1,890sqft"
"1400 NE 28th Ave, Portland, OR 97232","$889,000 ",4,3,"3,115sqft"
"1211 SE 53rd Ave, Portland, OR 97215","$595,000 ",3,2,"1,070sqft"
