,Neighborhood,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY
15416,Downtown,All Other Larceny,45.51011303,-122.6751422,7644557.0,679580.0
15417,Downtown,All Other Larceny,45.51011303,-122.6751422,7644557.0,679580.0
15418,Downtown,All Other Larceny,45.51011303,-122.6751422,7644557.0,679580.0
15419,Downtown,Vandalism,45.51011303,-122.6751422,7644557.0,679580.0
15420,Downtown,All Other Larceny,45.51011303,-122.6751422,7644557.0,679580.0
15421,Downtown,All Other Larceny,45.51011303,-122.6751422,7644557.0,679580.0
15422,Downtown,All Other Larceny,45.51011303,-122.6751422,7644557.0,679580.0
15423,Downtown,Vandalism,45.51011303,-122.6751422,7644557.0,679580.0
15424,Downtown,Burglary,45.51054842,-122.6748974,7644624.0,679737.0
15425,Downtown,Burglary,45.51054842,-122.6748974,7644624.0,679737.0
15426,Downtown,Theft From Motor Vehicle,45.51011303,-122.6751422,7644557.0,679580.0
15427,Hosford-Abernethy,All Other Larceny,45.51047359,-122.6628756,7647704.0,679627.0
15428,Hosford-Abernethy,Vandalism,45.51044802,-122.6597138,7648514.0,679596.0
15429,Hosford-Abernethy,Motor Vehicle Theft,45.51044587,-122.6586601,7648784.0,679588.0
15430,Hosford-Abernethy,Vandalism,45.51044587,-122.6586601,7648784.0,679588.0
15431,Hosford-Abernethy,Theft From Motor Vehicle,45.51043654,-122.6566735,7649293.0,679571.0
15432,Hosford-Abernethy,Vandalism,45.51063781,-122.6422506,7652991.0,679546.0
15433,Hosford-Abernethy,All Other Larceny,45.51071773,-122.6403181,7653487.0,679562.0
15434,Richmond,Motor Vehicle Theft,45.5104747,-122.6305144,7655997.0,679407.0
15435,Richmond,Burglary,45.51047513,-122.6306393,7655965.0,679408.0
15436,Richmond,Theft From Motor Vehicle,45.51047513,-122.6306393,7655965.0,679408.0
15437,Richmond,Theft of Motor Vehicle Parts or Accessories,45.5104712,-122.6295192,7656252.0,679399.0
15438,Richmond,Motor Vehicle Theft,45.51030773,-122.628717,7656456.0,679334.0
15439,Richmond,Motor Vehicle Theft,45.51052906,-122.6258026,7657205.0,679395.0
15440,Richmond,Theft of Motor Vehicle Parts or Accessories,45.51052927,-122.6240115,7657664.0,679383.0
15441,Richmond,Theft From Motor Vehicle,45.51035145,-122.6202704,7658621.0,679293.0
15442,Richmond,Burglary,45.51034173,-122.6181199,7659172.0,679275.0
15443,Richmond,Theft From Motor Vehicle,45.51034217,-122.6182448,7659140.0,679276.0
15444,Richmond,Motor Vehicle Theft,45.51034404,-122.6171016,7659433.0,679269.0
15445,Mt Tabor,Theft From Motor Vehicle,45.51033751,-122.6065615,7662134.0,679196.0
15446,Mt Tabor,Vandalism,45.51025685,-122.6045255,7662655.0,679153.0
15447,Mt Tabor,Vandalism,45.51026816,-122.6036089,7662890.0,679151.0
15448,Mt Tabor,Vandalism,45.51026816,-122.6036089,7662890.0,679151.0
15449,Mt Tabor,Identity Theft,45.51059132,-122.5889058,7666661.0,679171.0
15450,Montavilla,Shoplifting,45.51045986,-122.5786071,7669299.0,679055.0
15451,Hazelwood,All Other Larceny,45.51046103,-122.5642395,7672981.0,678961.0
15452,Mill Park,Motor Vehicle Theft,45.51111376,-122.5469259,7677424.0,679086.0
15453,Mill Park,Vandalism,45.51117779,-122.5376137,7679811.0,679049.0
15454,Mill Park,Robbery,45.51117832,-122.5377386,7679779.0,679050.0
15455,Mill Park,Aggravated Assault,45.51117832,-122.5377386,7679779.0,679050.0
15456,Mill Park,Simple Assault,45.51117832,-122.5377386,7679779.0,679050.0
15457,Mill Park,Motor Vehicle Theft,45.51117832,-122.5377386,7679779.0,679050.0
15458,Mill Park,Shoplifting,45.51117832,-122.5377386,7679779.0,679050.0
15459,Mill Park,Vandalism,45.51117832,-122.5377386,7679779.0,679050.0
15460,Mill Park,Vandalism,45.51117832,-122.5377386,7679779.0,679050.0
15461,Hazelwood,Aggravated Assault,45.51059454,-122.5209309,7684081.0,678729.0
15462,Hazelwood,Motor Vehicle Theft,45.51059234,-122.5210557,7684049.0,678729.0
15463,Hazelwood,Vandalism,45.51059454,-122.5209309,7684081.0,678729.0
15464,Hazelwood,All Other Larceny,45.51059234,-122.5210557,7684049.0,678729.0
15465,Centennial,Burglary,45.51068379,-122.5153814,7685504.0,678726.0
15466,Centennial,Motor Vehicle Theft,45.5105491,-122.5088172,7687185.0,678635.0
15467,Centennial,Theft From Motor Vehicle,45.51087603,-122.4985663,7689815.0,678689.0
15468,Centennial,Vandalism,45.51016796,-122.4846541,7693374.0,678343.0
15469,Buckman East,Motor Vehicle Theft,45.51785486,-122.6480609,7651572.0,682216.0
15470,Buckman East,Vandalism,45.51785486,-122.6480609,7651572.0,682216.0
15471,Buckman East,Theft of Motor Vehicle Parts or Accessories,45.52141933,-122.6480357,7651613.0,683515.0
15472,Hosford-Abernethy,All Other Larceny,45.50130291,-122.6481801,7651381.0,676184.0
15473,Hosford-Abernethy,Theft From Motor Vehicle,45.5035256,-122.6481627,7651407.0,676994.0
15474,Hosford-Abernethy,Vandalism,45.5035256,-122.6481627,7651407.0,676994.0
15475,Hosford-Abernethy,Motor Vehicle Theft,45.51056089,-122.647106,7651746.0,679551.0
15476,Sellwood-Moreland,Vandalism,45.48239564,-122.6479216,7651264.0,669291.0
15477,Brooklyn,Theft From Motor Vehicle,45.49929851,-122.6476752,7651491.0,675450.0
15478,Brooklyn,Theft of Motor Vehicle Parts or Accessories,45.49929851,-122.6476752,7651491.0,675450.0
15479,Brooklyn,All Other Larceny,45.49811719,-122.647611,7651496.0,675019.0
15480,Sellwood-Moreland,Theft From Motor Vehicle,45.48316102,-122.6479272,7651270.0,669570.0
15481,Buckman East,Burglary,45.51223517,-122.6480981,7651508.0,680168.0
15482,Hosford-Abernethy,Motor Vehicle Theft,45.51214737,-122.6480986,7651507.0,680136.0
15483,Buckman East,Burglary,45.51223517,-122.6480981,7651508.0,680168.0
15484,Hosford-Abernethy,Motor Vehicle Theft,45.51214737,-122.6480986,7651507.0,680136.0
15485,Buckman East,Robbery,45.51223517,-122.6480981,7651508.0,680168.0
15486,Buckman East,Vandalism,45.51223517,-122.6480981,7651508.0,680168.0
15487,Sellwood-Moreland,Theft From Motor Vehicle,45.48386949,-122.6478954,7651285.0,669828.0
15488,Hosford-Abernethy,Vandalism,45.51044997,-122.6517143,7650564.0,679542.0
15489,Hosford-Abernethy,Vandalism,45.50635702,-122.6481645,7651434.0,678026.0
15490,Hosford-Abernethy,Burglary,45.50635702,-122.6481645,7651434.0,678026.0
15491,Buckman East,Burglary,45.51295134,-122.6480939,7651516.0,680429.0
15492,Buckman East,Motor Vehicle Theft,45.51295134,-122.6480939,7651516.0,680429.0
15493,Buckman East,All Other Larceny,45.51722924,-122.6480645,7651565.0,681988.0
15494,Buckman East,Vandalism,45.51714144,-122.6480651,7651564.0,681956.0
15495,Buckman East,Theft of Motor Vehicle Parts or Accessories,45.51714144,-122.6480651,7651564.0,681956.0
15496,Buckman East,Theft of Motor Vehicle Parts or Accessories,45.51722924,-122.6480645,7651565.0,681988.0
15497,Hosford-Abernethy,Theft of Motor Vehicle Parts or Accessories,45.51054536,-122.6486702,7651345.0,679556.0
15498,Sellwood-Moreland,Theft From Motor Vehicle,45.48082931,-122.6479053,7651253.0,668720.0
15499,Sellwood-Moreland,Theft From Motor Vehicle,45.4817097,-122.647923,7651257.0,669041.0
15500,Sellwood-Moreland,Motor Vehicle Theft,45.4817097,-122.647923,7651257.0,669041.0
15501,Sellwood-Moreland,Motor Vehicle Theft,45.46436239,-122.64655,7651441.0,662709.0
15502,Sellwood-Moreland,Aggravated Assault,45.46436239,-122.64655,7651441.0,662709.0
15503,Buckman East,Motor Vehicle Theft,45.51500093,-122.6480895,7651537.0,681176.0
15504,Sellwood-Moreland,Vandalism,45.46356129,-122.646547,7651434.0,662417.0
15505,Sellwood-Moreland,Motor Vehicle Theft,45.46356129,-122.646547,7651434.0,662417.0
15506,Sellwood-Moreland,Motor Vehicle Theft,45.46356129,-122.646547,7651434.0,662417.0
15507,Sellwood-Moreland,Vandalism,45.46284792,-122.6465474,7651427.0,662157.0
15508,Hosford-Abernethy,All Other Larceny,45.50201634,-122.6481759,7651389.0,676444.0
15509,Downtown,Theft From Building,45.51143587,-122.6803322,7643240.0,680098.0
15510,Downtown,Vandalism,45.51143587,-122.6803322,7643240.0,680098.0
15511,Downtown,Burglary,45.51143587,-122.6803322,7643240.0,680098.0
15512,Downtown,Burglary,45.51143587,-122.6803322,7643240.0,680098.0
15513,Downtown,Burglary,45.51143587,-122.6803322,7643240.0,680098.0
15514,Downtown,Simple Assault,45.51143587,-122.6803322,7643240.0,680098.0
15515,Downtown,Burglary,45.51143587,-122.6803322,7643240.0,680098.0
15516,Downtown,Vandalism,45.51143587,-122.6803322,7643240.0,680098.0
15517,Downtown,Vandalism,45.51143587,-122.6803322,7643240.0,680098.0
15518,Downtown,Burglary,45.51143587,-122.6803322,7643240.0,680098.0
15519,Downtown,All Other Larceny,45.51143587,-122.6803322,7643240.0,680098.0
15520,Downtown,Theft From Motor Vehicle,45.51143587,-122.6803322,7643240.0,680098.0
15521,Downtown,Theft From Motor Vehicle,45.51143587,-122.6803322,7643240.0,680098.0
15522,Downtown,Vandalism,45.51143587,-122.6803322,7643240.0,680098.0
15523,Downtown,Burglary,45.51143587,-122.6803322,7643240.0,680098.0
15524,Downtown,Theft From Motor Vehicle,45.51143587,-122.6803322,7643240.0,680098.0
15525,Downtown,All Other Larceny,45.51143587,-122.6803322,7643240.0,680098.0
15526,Downtown,Identity Theft,45.51143587,-122.6803322,7643240.0,680098.0
15527,Downtown,Vandalism,45.51143587,-122.6803322,7643240.0,680098.0
15528,Downtown,Vandalism,45.51143587,-122.6803322,7643240.0,680098.0
15529,Downtown,Theft From Motor Vehicle,45.51143587,-122.6803322,7643240.0,680098.0
15530,Downtown,Theft of Motor Vehicle Parts or Accessories,45.51143587,-122.6803322,7643240.0,680098.0
15531,Downtown,Theft of Motor Vehicle Parts or Accessories,45.51143587,-122.6803322,7643240.0,680098.0
15532,Downtown,All Other Larceny,45.51143587,-122.6803322,7643240.0,680098.0
15533,Downtown,Theft From Motor Vehicle,45.51143587,-122.6803322,7643240.0,680098.0
15534,Downtown,Simple Assault,45.51178764,-122.6813135,7642992.0,680233.0
15535,Downtown,Simple Assault,45.51206175,-122.6823387,7642732.0,680340.0
15536,Downtown,Intimidation,45.51206175,-122.6823387,7642732.0,680340.0
15537,Downtown,Simple Assault,45.51206175,-122.6823387,7642732.0,680340.0
15538,Downtown,Theft of Motor Vehicle Parts or Accessories,45.51330159,-122.6869717,7641557.0,680824.0
15539,Downtown,Vandalism,45.51330159,-122.6869717,7641557.0,680824.0
15540,Downtown,Theft From Motor Vehicle,45.51330159,-122.6869717,7641557.0,680824.0
15541,Downtown,Vandalism,45.51330159,-122.6869717,7641557.0,680824.0
15542,Sylvan-Highlands,Theft From Motor Vehicle,45.51047752,-122.7366058,7628810.0,680143.0
15543,Goose Hollow,Motor Vehicle Theft,45.51739877,-122.6921094,7640281.0,682353.0
15544,Goose Hollow,Motor Vehicle Theft,45.51739877,-122.6921094,7640281.0,682353.0
15545,Goose Hollow,Motor Vehicle Theft,45.51739877,-122.6921094,7640281.0,682353.0
15546,Goose Hollow,Burglary,45.51739877,-122.6921094,7640281.0,682353.0
15547,Goose Hollow,Theft From Motor Vehicle,45.51739877,-122.6921094,7640281.0,682353.0
15548,Goose Hollow,Theft From Motor Vehicle,45.51739877,-122.6921094,7640281.0,682353.0
15549,Goose Hollow,Vandalism,45.51739877,-122.6921094,7640281.0,682353.0
15550,Goose Hollow,Theft of Motor Vehicle Parts or Accessories,45.51739877,-122.6921094,7640281.0,682353.0
15551,Goose Hollow,Theft From Motor Vehicle,45.51739877,-122.6921094,7640281.0,682353.0
15552,Goose Hollow,Vandalism,45.51739877,-122.6921094,7640281.0,682353.0
15553,Goose Hollow,Identity Theft,45.51739877,-122.6921094,7640281.0,682353.0
15554,Goose Hollow,Theft of Motor Vehicle Parts or Accessories,45.51739877,-122.6921094,7640281.0,682353.0
15555,Goose Hollow,Vandalism,45.51739877,-122.6921094,7640281.0,682353.0
15556,Hillsdale,All Other Larceny,45.46973033,-122.6958041,7638862.0,665005.0
15557,Hillsdale,All Other Larceny,45.46964252,-122.6958047,7638861.0,664973.0
15558,Southwest Hills,Identity Theft,45.5079811,-122.697205,7638882.0,678956.0
15559,Southwest Hills,Theft of Motor Vehicle Parts or Accessories,45.5079811,-122.697205,7638882.0,678956.0
15560,Southwest Hills,Vandalism,45.50939775,-122.6964403,7639092.0,679467.0
15561,Goose Hollow,Burglary,45.51790747,-122.692051,7640301.0,682538.0
15562,Goose Hollow,Burglary,45.51782188,-122.6920789,7640293.0,682507.0
15563,Goose Hollow,Vandalism,45.51782188,-122.6920789,7640293.0,682507.0
15564,Goose Hollow,Vandalism,45.51782188,-122.6920789,7640293.0,682507.0
15565,Goose Hollow,Simple Assault,45.51853742,-122.6916773,7640403.0,682765.0
15566,Goose Hollow,Theft of Motor Vehicle Parts or Accessories,45.51853742,-122.6916773,7640403.0,682765.0
15567,Goose Hollow,Burglary,45.51599601,-122.692867,7640073.0,681847.0
15568,Goose Hollow,Theft From Motor Vehicle,45.51599601,-122.692867,7640073.0,681847.0
15569,Goose Hollow,Theft of Motor Vehicle Parts or Accessories,45.51607908,-122.6928273,7640084.0,681877.0
15570,Goose Hollow,Vandalism,45.51579709,-122.6968167,7639059.0,681802.0
15571,Goose Hollow,Motor Vehicle Theft,45.52206957,-122.6896084,7640968.0,684038.0
15572,Goose Hollow,Simple Assault,45.52198636,-122.6896559,7640955.0,684008.0
15573,Goose Hollow,Vandalism,45.52206957,-122.6896084,7640968.0,684038.0
15574,Goose Hollow,Burglary,45.52206957,-122.6896084,7640968.0,684038.0
15575,Hillsdale,Burglary,45.46767902,-122.6957522,7638855.0,664257.0
15576,Hillsdale,Theft From Motor Vehicle,45.46767902,-122.6957522,7638855.0,664257.0
15577,Southwest Hills,Burglary,45.51073125,-122.6957193,7639290.0,679948.0
15578,Southwest Hills,Theft of Motor Vehicle Parts or Accessories,45.51064811,-122.6957629,7639278.0,679918.0
15579,Downtown,All Other Larceny,45.51291069,-122.6848767,7642090.0,680667.0
15580,Downtown,Simple Assault,45.51291069,-122.6848767,7642090.0,680667.0
15581,Downtown,All Other Larceny,45.51291069,-122.6848767,7642090.0,680667.0
15582,Downtown,Simple Assault,45.51291069,-122.6848767,7642090.0,680667.0
15583,Downtown,All Other Larceny,45.51291069,-122.6848767,7642090.0,680667.0
15584,Downtown,Theft of Motor Vehicle Parts or Accessories,45.51291069,-122.6848767,7642090.0,680667.0
15585,Downtown,Motor Vehicle Theft,45.51291069,-122.6848767,7642090.0,680667.0
15586,Downtown,Motor Vehicle Theft,45.51291069,-122.6848767,7642090.0,680667.0
15587,Downtown,Identity Theft,45.51291069,-122.6848767,7642090.0,680667.0
15588,Downtown,All Other Larceny,45.51291069,-122.6848767,7642090.0,680667.0
15589,Downtown,Theft From Motor Vehicle,45.51291069,-122.6848767,7642090.0,680667.0
15590,Downtown,Theft From Coin-Operated Machine or Device,45.51291069,-122.6848767,7642090.0,680667.0
15591,Downtown,Credit Card/ATM Fraud,45.51291069,-122.6848767,7642090.0,680667.0
15592,Downtown,All Other Larceny,45.51291069,-122.6848767,7642090.0,680667.0
15593,Downtown,Vandalism,45.51291069,-122.6848767,7642090.0,680667.0
15594,Downtown,Theft From Motor Vehicle,45.51291069,-122.6848767,7642090.0,680667.0
15595,Downtown,All Other Larceny,45.51291069,-122.6848767,7642090.0,680667.0
15596,Downtown,Identity Theft,45.51291069,-122.6848767,7642090.0,680667.0
15597,Downtown,Theft From Motor Vehicle,45.51291069,-122.6848767,7642090.0,680667.0
15598,Downtown,Vandalism,45.51291069,-122.6848767,7642090.0,680667.0
15599,Downtown,Theft From Motor Vehicle,45.51291069,-122.6848767,7642090.0,680667.0
15600,Downtown,Theft of Motor Vehicle Parts or Accessories,45.51291069,-122.6848767,7642090.0,680667.0
15601,Downtown,Vandalism,45.51291069,-122.6848767,7642090.0,680667.0
15602,Downtown,Theft From Motor Vehicle,45.51291069,-122.6848767,7642090.0,680667.0
15603,Downtown,Theft of Motor Vehicle Parts or Accessories,45.51291069,-122.6848767,7642090.0,680667.0
15604,Goose Hollow,Burglary,45.51785498,-122.6979578,7638787.0,682560.0
15605,Goose Hollow,Burglary,45.51785498,-122.6979578,7638787.0,682560.0
15606,Goose Hollow,Burglary,45.51785498,-122.6979578,7638787.0,682560.0
15607,Goose Hollow,Vandalism,45.51998819,-122.6908473,7640630.0,683288.0
15608,Goose Hollow,Vandalism,45.51998819,-122.6908473,7640630.0,683288.0
15609,Goose Hollow,Theft From Motor Vehicle,45.51998819,-122.6908473,7640630.0,683288.0
15610,Goose Hollow,Theft From Building,45.51998819,-122.6908473,7640630.0,683288.0
15611,Goose Hollow,Vandalism,45.51998819,-122.6908473,7640630.0,683288.0
15612,Goose Hollow,Theft From Motor Vehicle,45.51998819,-122.6908473,7640630.0,683288.0
15613,Goose Hollow,Theft From Motor Vehicle,45.51998819,-122.6908473,7640630.0,683288.0
15614,Goose Hollow,Vandalism,45.51998819,-122.6908473,7640630.0,683288.0
15615,Goose Hollow,Theft From Motor Vehicle,45.51998819,-122.6908473,7640630.0,683288.0
15616,Goose Hollow,Theft From Building,45.51998819,-122.6908473,7640630.0,683288.0
15617,Goose Hollow,Vandalism,45.51998819,-122.6908473,7640630.0,683288.0
15618,Sylvan-Highlands,False Pretenses/Swindle/Confidence Game,45.51027533,-122.7354349,7629108.0,680061.0
15619,Sylvan-Highlands,Burglary,45.51025378,-122.7355551,7629077.0,680054.0
15620,Sylvan-Highlands,Burglary,45.51025378,-122.7355551,7629077.0,680054.0
15621,Sylvan-Highlands,Burglary,45.51027533,-122.7354349,7629108.0,680061.0
15622,Hillsdale,Theft of Motor Vehicle Parts or Accessories,45.48138482,-122.6958489,7638966.0,669253.0
15623,Goose Hollow,All Other Larceny,45.5207333,-122.6903335,7640769.0,683556.0
15624,Goose Hollow,Theft From Motor Vehicle,45.5207333,-122.6903335,7640769.0,683556.0
15625,Goose Hollow,False Pretenses/Swindle/Confidence Game,45.51597512,-122.6964021,7639167.0,681864.0
15626,Goose Hollow,Aggravated Assault,45.52131825,-122.6900165,7640856.0,683767.0
15627,Goose Hollow,Weapons Law Violations,45.52131825,-122.6900165,7640856.0,683767.0
15628,Goose Hollow,All Other Larceny,45.52131825,-122.6900165,7640856.0,683767.0
15629,Northwest,Aggravated Assault,45.52297061,-122.688398,7641287.0,684358.0
15630,Northwest,Weapons Law Violations,45.52297061,-122.688398,7641287.0,684358.0
15631,Northwest,Theft From Motor Vehicle,45.52297061,-122.688398,7641287.0,684358.0
15632,Northwest,Aggravated Assault,45.52297061,-122.688398,7641287.0,684358.0
15633,Northwest,Robbery,45.52297061,-122.688398,7641287.0,684358.0
15634,Northwest,Motor Vehicle Theft,45.52297061,-122.688398,7641287.0,684358.0
15635,Northwest,Burglary,45.52297061,-122.688398,7641287.0,684358.0
15636,Northwest,Vandalism,45.52297061,-122.688398,7641287.0,684358.0
15637,Northwest,All Other Larceny,45.52297061,-122.688398,7641287.0,684358.0
15638,Kerns,Motor Vehicle Theft,45.52292922,-122.6469609,7651903.0,684058.0
15639,Buckman East,Burglary,45.52284141,-122.6469615,7651902.0,684026.0
15640,Buckman East,Burglary,45.52284141,-122.6469615,7651902.0,684026.0
15641,Buckman East,Vandalism,45.52284141,-122.6469615,7651902.0,684026.0
15642,Kerns,Theft of Motor Vehicle Parts or Accessories,45.52292922,-122.6469609,7651903.0,684058.0
15643,Kenton,Vandalism,45.58449027,-122.6852936,7642689.0,706759.0
15644,Kenton,Vandalism,45.58449027,-122.6852936,7642689.0,706759.0
15645,Kenton,Theft From Motor Vehicle,45.59779097,-122.6857476,7642704.0,711610.0
15646,Arbor Lodge,Burglary,45.56769207,-122.6858145,7642390.0,700640.0
15647,Arbor Lodge,Simple Assault,45.56769207,-122.6858145,7642390.0,700640.0
15648,Arbor Lodge,Motor Vehicle Theft,45.56769207,-122.6858145,7642390.0,700640.0
15649,Arbor Lodge,Theft From Motor Vehicle,45.56769207,-122.6858145,7642390.0,700640.0
15650,Kenton,Burglary,45.58538678,-122.6853282,7642689.0,707086.0
15651,Arbor Lodge,Vandalism,45.56909697,-122.6858062,7642406.0,701152.0
15652,Arbor Lodge,Theft of Motor Vehicle Parts or Accessories,45.56909697,-122.6858062,7642406.0,701152.0
15653,Arbor Lodge,Vandalism,45.56838622,-122.6858139,7642397.0,700893.0
15654,Overlook,Burglary,45.55845325,-122.6861538,7642212.0,697275.0
